"Chromosome","Gene","E.coli_85","E.coli_86","B.subtillis_94","B.subtillis_95"
"chrIII_pilon","g6785",35,29,42,42
"chrIII_pilon","g6786",0,2,0,1
"chrIII_pilon","g6787",497,541,394,433
"chrIII_pilon","g6788",0,0,1,0
"chrIII_pilon","g6789",217,309,152,176
"chrIII_pilon","g6790",109,109,70,85
"chrIII_pilon","g6791",47,64,29,27
"chrIII_pilon","g6792",221,247,181,207
"chrIII_pilon","g6793",75,66,72,70
"chrIII_pilon","g6794",56,73,41,116
"chrIII_pilon","g6795",0,3,0,2
"chrIII_pilon","g6796",0,0,0,0
"chrIII_pilon","g6797",36,35,20,42
"chrIII_pilon","g6798",7,6,3,0
"chrIII_pilon","g6799",0,0,0,0
"chrIII_pilon","g6800",0,0,0,0
"chrIII_pilon","g6801",0,0,1,1
"chrIII_pilon","g6802",35,28,28,42
"chrIII_pilon","g6803",0,0,0,0
"chrIII_pilon","g6804",13,30,25,32
"chrIII_pilon","g6805",29,42,30,32
"chrIII_pilon","g6806",177,154,109,179
"chrIII_pilon","g6807",46,48,38,116
"chrIII_pilon","g6808",12,10,11,14
"chrIII_pilon","g6809",34,27,24,31
"chrIII_pilon","g6810",18,33,14,39
"chrIII_pilon","g6811",3,0,2,4
"chrIII_pilon","g6812",16,22,7,40
"chrIII_pilon","g6813",92,84,74,88
"chrIII_pilon","g6814",133,170,138,176
"chrIII_pilon","g6815",375,473,366,393
"chrIII_pilon","g6816",758,791,579,680
"chrIII_pilon","g6817",41,67,34,49
"chrIII_pilon","g6818",344,402,277,371
"chrIII_pilon","g6819",16,18,15,21
"chrIII_pilon","g6820",2,3,3,7
"chrIII_pilon","g6821",26,20,22,20
"chrIII_pilon","g6822",0,0,0,0
"chrIII_pilon","g6823",28,38,39,35
"chrIII_pilon","g6824",354,440,649,745
"chrIII_pilon","g6825",0,1,2,0
"chrIII_pilon","g6826",69,46,78,43
"chrIII_pilon","g6827",190,160,206,164
"chrIII_pilon","g6828",281,255,212,241
"chrIII_pilon","g6829",326,347,227,235
"chrIII_pilon","g6830",370,398,242,312
"chrIII_pilon","g6831",50,61,46,49
"chrIII_pilon","g6832",318,352,234,256
"chrIII_pilon","g6833",181,221,170,168
"chrIII_pilon","g6834",257,267,189,195
"chrIII_pilon","g6835",86,69,50,99
"chrIII_pilon","g6836",0,2,0,2
"chrIII_pilon","g6837",8,23,30,24
"chrIII_pilon","g6838",0,1,2,3
"chrIII_pilon","g6839",152,138,95,101
"chrIII_pilon","g6840",650,700,466,488
"chrIII_pilon","g6841",995,1037,844,958
"chrIII_pilon","g6842",334,316,219,258
"chrIII_pilon","g6843",168,189,129,135
"chrIII_pilon","g6844",999,1083,898,972
"chrIII_pilon","g6845",291,350,201,240
"chrIII_pilon","g6846",335,370,375,337
"chrIII_pilon","g6847",355,361,232,263
"chrIII_pilon","g6848",0,0,0,2
"chrIII_pilon","g6849",3,3,2,4
"chrIII_pilon","g6850",13,18,8,30
"chrIII_pilon","g6851",13,13,26,21
"chrIII_pilon","g6852",0,0,0,1
"chrIII_pilon","g6853",5,22,14,23
"chrIII_pilon","g6854",41,57,29,59
"chrIII_pilon","g6855",1,1,0,0
"chrIII_pilon","g6856",18,9,12,9
"chrIII_pilon","g6857",4,11,4,14
"chrIII_pilon","g6858",69,90,45,16
"chrIII_pilon","g6859",3,8,4,1
"chrIII_pilon","g6860",2,3,3,7
"chrIII_pilon","g6861",0,1,2,0
"chrIII_pilon","g6862",11,7,9,14
"chrIII_pilon","g6863",0,1,1,1
"chrIII_pilon","g6864",1,1,2,1
"chrIII_pilon","g6865",7,10,10,11
"chrIII_pilon","g6866",42,75,35,44
"chrIII_pilon","g6867",8,12,8,18
"chrIII_pilon","g6868",185,179,247,175
"chrIII_pilon","g6869",1,0,0,0
"chrIII_pilon","g6870",21,10,0,0
"chrIII_pilon","g6871",1,6,3,2
"chrIII_pilon","g6872",19,13,3,11
"chrIII_pilon","g6873",2,3,4,4
"chrIII_pilon","g6874",4,8,39,16
"chrIII_pilon","g6875",37,34,47,40
"chrIII_pilon","g6876",36,56,42,43
"chrIII_pilon","g6877",245,265,152,169
"chrIII_pilon","g6878",119,130,79,100
"chrIII_pilon","g6879",9,16,9,20
"chrIII_pilon","g6880",0,3,0,1
"chrIII_pilon","g6881",617,565,417,542
"chrIII_pilon","g6882",173,166,92,111
"chrIII_pilon","g6883",154,207,93,88
"chrIII_pilon","g6884",180,203,136,205
"chrIII_pilon","g6885",25,21,15,38
"chrIII_pilon","g6886",2,3,7,4
"chrIII_pilon","g6887",3,3,1,2
"chrIII_pilon","g6888",0,0,0,0
"chrIII_pilon","g6889",0,0,1,9
"chrIII_pilon","g6890",9,4,8,10
"chrIII_pilon","g6891",280,304,166,186
"chrIII_pilon","g6892",11,28,11,24
"chrIII_pilon","g6893",0,0,0,1
"chrIII_pilon","g6894",4,6,2,9
"chrIII_pilon","g6895",34,30,24,25
"chrIII_pilon","g6896",174,202,121,136
"chrIII_pilon","g6897",269,337,193,169
"chrIII_pilon","g6898",141,141,106,105
"chrIII_pilon","g6899",518,486,282,403
"chrIII_pilon","g6900",282,320,266,260
"chrIII_pilon","g6901",34,40,30,85
"chrIII_pilon","g6902",9,12,3,8
"chrIII_pilon","g6903",0,0,0,0
"chrIII_pilon","g6904",2,4,3,2
"chrIII_pilon","g6905",1,4,3,5
"chrIII_pilon","g6906",4,2,3,3
"chrIII_pilon","g6907",1,0,0,0
"chrIII_pilon","g6908",0,0,0,0
"chrIII_pilon","g6909",0,0,0,0
"chrIII_pilon","g6910",0,0,0,0
"chrIII_pilon","g6911",0,0,0,0
"chrIII_pilon","g6912",0,0,0,0
"chrIII_pilon","g6913",0,0,0,0
"chrIII_pilon","g6914",0,0,0,0
"chrIII_pilon","g6915",4,2,6,7
"chrIII_pilon","g6916",5,6,13,16
"chrIII_pilon","g6917",5,5,4,2
"chrIII_pilon","g6918",0,1,1,0
"chrIII_pilon","g6919",1,4,5,10
"chrIII_pilon","g6920",2,1,1,1
"chrIII_pilon","g6921",9,17,11,12
"chrIII_pilon","g6922",0,2,0,1
"chrIII_pilon","g6923",0,0,0,0
"chrIII_pilon","g6924",0,0,0,0
"chrIII_pilon","g6925",0,0,0,0
"chrIII_pilon","g6926",0,1,1,2
"chrIII_pilon","g6927",0,0,0,0
"chrIII_pilon","g6928",0,0,0,0
"chrIII_pilon","g6929",6,10,15,23
"chrIII_pilon","g6930",0,0,0,0
"chrIII_pilon","g6931",0,0,3,0
"chrIII_pilon","g6932",6,5,16,14
"chrIII_pilon","g6933",2,6,15,14
"chrIII_pilon","g6934",1,0,8,4
"chrIII_pilon","g6935",8,11,17,30
"chrIII_pilon","g6936",5,1,0,1
"chrIII_pilon","g6937",0,0,0,0
"chrIII_pilon","g6938",2,1,0,1
"chrIII_pilon","g6939",0,1,1,0
"chrIII_pilon","g6940",1,2,3,8
"chrIII_pilon","g6941",3,1,0,0
"chrIII_pilon","g6942",4,3,4,3
"chrIII_pilon","g6943",7,3,5,1
"chrIII_pilon","g6944",5,1,0,2
"chrIII_pilon","g6945",0,1,2,2
"chrIII_pilon","g6946",0,0,0,0
"chrIII_pilon","g6947",0,0,1,0
"chrIII_pilon","g6948",0,0,0,0
"chrIII_pilon","g6949",0,0,0,0
"chrIII_pilon","g6950",1,0,0,0
"chrIII_pilon","g6951",0,0,0,0
"chrIII_pilon","g6952",0,0,0,0
"chrIII_pilon","g6953",2,2,4,7
"chrIII_pilon","g6954",5,5,3,6
"chrIII_pilon","g6955",1,2,3,3
"chrIII_pilon","g6956",4,7,12,18
"chrIII_pilon","g6957",33,40,16,26
"chrIII_pilon","g6958",193,207,126,160
"chrIII_pilon","g6959",193,219,150,194
"chrIII_pilon","g6960",3153,3135,2227,2260
"chrIII_pilon","g6961",293,308,200,257
"chrIII_pilon","g6962",8,18,7,12
"chrIII_pilon","g6963",98,123,97,69
"chrIII_pilon","g6964",61,42,34,61
"chrIII_pilon","g6965",18,15,15,24
"chrIII_pilon","g6966",333,314,189,188
"chrIII_pilon","g6967",148,186,106,96
"chrIII_pilon","g6968",67,72,47,44
"chrIII_pilon","g6969",340,368,251,297
"chrIII_pilon","g6970",144,141,95,128
"chrIII_pilon","g6971",133,113,115,191
"chrIII_pilon","g6972",40,66,33,53
"chrIII_pilon","g6973",31,54,39,36
"chrIII_pilon","g6974",227,225,150,171
"chrIII_pilon","g6975",107,128,72,107
"chrIII_pilon","g6976",151,207,115,134
"chrIII_pilon","g6977",204,190,132,144
"chrIII_pilon","g6978",80,106,58,80
"chrIII_pilon","g6979",77,88,52,51
"chrIII_pilon","g6980",38,32,19,43
"chrIII_pilon","g6981",1,1,2,3
"chrIII_pilon","g6982",44,54,14,42
"chrIII_pilon","g6983",545,676,169,192
"chrIII_pilon","g6984",1373,1532,1011,1287
"chrIII_pilon","g6985",0,3,1,2
"chrIII_pilon","g6986",11,2,5,4
"chrIII_pilon","g6987",0,0,0,0
"chrIII_pilon","g6988",0,0,0,0
"chrIII_pilon","g6989",0,0,0,0
"chrIII_pilon","g6990",0,0,0,0
"chrIII_pilon","g6991",2,1,0,0
"chrIII_pilon","g6992",0,1,1,0
"chrIII_pilon","g6993",30,42,47,30
"chrIII_pilon","g6994",0,1,0,3
"chrIII_pilon","g6995",0,0,1,0
"chrIII_pilon","g6996",14,19,13,27
"chrIII_pilon","g6997",2,1,2,3
"chrIII_pilon","g6998",18,19,110,92
"chrIII_pilon","g6999",98,152,51,23
"chrIII_pilon","g7000",5,9,11,6
"chrIII_pilon","g7001",4,3,6,6
"chrIII_pilon","g7002",1,4,4,0
"chrIII_pilon","g7003",8,7,2,12
"chrIII_pilon","g7004",0,0,0,1
"chrIII_pilon","g7005",0,0,0,0
"chrIII_pilon","g7006",0,0,0,0
"chrIII_pilon","g7007",0,0,0,0
"chrIII_pilon","g7008",11,3,3,11
"chrIII_pilon","g7009",186,188,130,121
"chrIII_pilon","g7010",29,29,10,72
"chrIII_pilon","g7011",87,108,93,103
"chrIII_pilon","g7012",26,39,29,39
"chrIII_pilon","g7013",270,338,161,177
"chrIII_pilon","g7014",337,443,297,350
"chrIII_pilon","g7015",16,15,10,17
"chrIII_pilon","g7016",172,209,92,108
"chrIII_pilon","g7017",177,160,115,172
"chrIII_pilon","g7018",92,111,75,81
"chrIII_pilon","g7019",1,0,0,0
"chrIII_pilon","g7020",0,0,0,0
"chrIII_pilon","g7021",0,0,0,0
"chrIII_pilon","g7022",0,0,1,0
"chrIII_pilon","g7023",137,144,74,112
"chrIII_pilon","g7024",309,310,238,419
"chrIII_pilon","g7025",2,2,0,1
"chrIII_pilon","g7026",311,352,192,281
"chrIII_pilon","g7027",1042,1456,1502,1581
"chrIII_pilon","g7028",19,20,18,25
"chrIII_pilon","g7029",683,664,551,574
"chrIII_pilon","g7030",1,1,1,1
"chrIII_pilon","g7031",0,0,0,0
"chrIII_pilon","g7032",2,0,2,0
"chrIII_pilon","g7033",1,0,0,0
"chrIII_pilon","g7034",0,0,0,0
"chrIII_pilon","g7035",0,0,0,0
"chrIII_pilon","g7036",0,0,0,0
"chrIII_pilon","g7037",1,0,2,1
"chrIII_pilon","g7038",0,0,0,0
"chrIII_pilon","g7039",4,9,5,10
"chrIII_pilon","g7040",9,24,11,72
"chrIII_pilon","g7041",0,0,0,0
"chrIII_pilon","g7042",0,0,0,0
"chrIII_pilon","g7043",0,0,0,0
"chrIII_pilon","g7044",0,0,0,0
"chrIII_pilon","g7045",0,1,0,2
"chrIII_pilon","g7046",1,7,3,5
"chrIII_pilon","g7047",8,1,0,2
"chrIII_pilon","g7048",47,47,29,46
"chrIII_pilon","g7049",158,160,74,130
"chrIII_pilon","g7050",0,0,0,0
"chrIII_pilon","g7051",0,0,0,0
"chrIII_pilon","g7052",17,24,11,11
"chrIII_pilon","g7053",0,1,0,0
"chrIII_pilon","g7054",0,0,0,0
"chrIII_pilon","g7055",135,118,89,126
"chrIII_pilon","g7056",82,90,57,69
"chrIII_pilon","g7057",0,0,0,0
"chrIII_pilon","g7058",469,503,379,481
"chrIII_pilon","g7059",125,134,91,98
"chrIII_pilon","g7060",9,2,4,1
"chrIII_pilon","g7061",0,0,3,1
"chrIII_pilon","g7062",1,0,0,3
"chrIII_pilon","g7063",0,1,1,1
"chrIII_pilon","g7064",11,7,6,1
"chrIII_pilon","g7065",5,5,1,0
"chrIII_pilon","g7066",0,0,1,0
"chrIII_pilon","g7067",71,55,34,73
"chrIII_pilon","g7068",0,0,0,0
"chrIII_pilon","g7069",0,0,0,0
"chrIII_pilon","g7070",0,0,0,0
"chrIII_pilon","g7071",0,0,0,1
"chrIII_pilon","g7072",0,0,0,0
"chrIII_pilon","g7073",0,0,0,0
"chrIII_pilon","g7074",0,0,0,0
"chrIII_pilon","g7075",2,0,4,2
"chrIII_pilon","g7076",5,10,3,6
"chrIII_pilon","g7077",5,7,0,5
"chrIII_pilon","g7078",1,1,1,0
"chrIII_pilon","g7079",0,0,1,4
"chrIII_pilon","g7080",2,1,0,0
"chrIII_pilon","g7081",3,11,5,17
"chrIII_pilon","g7082",70,71,80,106
"chrIII_pilon","g7083",1,1,0,1
"chrIII_pilon","g7084",0,0,0,0
"chrIII_pilon","g7085",2,3,1,2
"chrIII_pilon","g7086",779,860,603,598
"chrIII_pilon","g7087",8,9,2,3
"chrIII_pilon","g7088",18,17,9,11
"chrIII_pilon","g7089",412,441,329,383
"chrIII_pilon","g7090",293,340,258,304
"chrIII_pilon","g7091",0,0,0,0
"chrIII_pilon","g7092",0,1,0,1
"chrIII_pilon","g7093",281,353,216,267
"chrIII_pilon","g7094",3,4,4,4
"chrIII_pilon","g7095",0,0,0,0
"chrIII_pilon","g7096",86,110,58,83
"chrIII_pilon","g7097",6,8,5,16
"chrIII_pilon","g7098",63,70,36,46
"chrIII_pilon","g7099",70,81,52,50
"chrIII_pilon","g7100",48,67,93,91
"chrIII_pilon","g7101",0,3,2,1
"chrIII_pilon","g7102",0,3,3,5
"chrIII_pilon","g7103",0,0,0,0
"chrIII_pilon","g7104",1,3,0,2
"chrIII_pilon","g7105",2,0,1,0
"chrIII_pilon","g7106",42,39,39,13
"chrIII_pilon","g7107",25,11,17,19
"chrIII_pilon","g7108",8,6,8,11
"chrIII_pilon","g7109",3,4,2,1
"chrIII_pilon","g7110",71,75,37,38
"chrIII_pilon","g7111",2,3,1,1
"chrIII_pilon","g7112",1,1,1,0
"chrIII_pilon","g7113",1,0,0,0
"chrIII_pilon","g7114",0,0,0,1
"chrIII_pilon","g7115",419,449,329,450
"chrIII_pilon","g7116",119,128,91,124
"chrIII_pilon","g7117",0,0,0,0
"chrIII_pilon","g7118",0,0,0,0
"chrIII_pilon","g7119",165,128,99,119
"chrIII_pilon","g7120",3,9,3,12
"chrIII_pilon","g7121",238,259,170,233
"chrIII_pilon","g7122",274,291,205,199
"chrIII_pilon","g7123",328,275,202,306
"chrIII_pilon","g7124",68,102,51,66
"chrIII_pilon","g7125",9,29,10,93
"chrIII_pilon","g7126",0,0,0,0
"chrIII_pilon","g7127",102,104,95,105
"chrIII_pilon","g7128",1,0,2,0
"chrIII_pilon","g7129",62,79,59,63
"chrIII_pilon","g7130",188,237,117,164
"chrIII_pilon","g7131",10,14,11,22
"chrIII_pilon","g7132",71,69,79,101
"chrIII_pilon","g7133",13,16,17,26
"chrIII_pilon","g7134",449,426,347,422
"chrIII_pilon","g7135",154,183,96,104
"chrIII_pilon","g7136",42,57,39,40
"chrIII_pilon","g7137",294,296,226,238
"chrIII_pilon","g7138",251,297,201,223
"chrIII_pilon","g7139",334,358,226,272
"chrIII_pilon","g7140",4,10,6,12
"chrIII_pilon","g7141",2,9,6,13
"chrIII_pilon","g7142",271,276,254,607
"chrIII_pilon","g7143",24,23,14,16
"chrIII_pilon","g7144",1,2,1,1
"chrIII_pilon","g7145",200,224,127,142
"chrIII_pilon","g7146",66,65,27,49
"chrIII_pilon","g7147",6,14,8,21
"chrIII_pilon","g7148",205,215,146,149
"chrIII_pilon","g7149",90,122,67,62
"chrIII_pilon","g7150",6,3,8,7
"chrIII_pilon","g7151",177,179,101,148
"chrIII_pilon","g7152",1,1,1,3
"chrIII_pilon","g7153",6,32,11,83
"chrIII_pilon","g7154",50,102,268,153
"chrIII_pilon","g7155",189,195,97,175
"chrIII_pilon","g7156",841,849,563,628
"chrIII_pilon","g7157",43,54,26,31
"chrIII_pilon","g7158",236,246,163,175
"chrIII_pilon","g7159",614,638,591,534
"chrIII_pilon","g7160",267,342,192,176
"chrIII_pilon","g7161",54,50,39,38
"chrIII_pilon","g7162",1,3,7,4
"chrIII_pilon","g7163",3,3,2,3
"chrIII_pilon","g7164",217,237,153,183
"chrIII_pilon","g7165",1016,1342,668,729
"chrIII_pilon","g7166",265,326,187,233
"chrIII_pilon","g7167",121,166,92,105
"chrIII_pilon","g7168",11,25,20,26
"chrIII_pilon","g7169",116,137,96,109
"chrIII_pilon","g7170",21,34,8,10
"chrIII_pilon","g7171",0,1,0,1
"chrIII_pilon","g7172",109,69,133,122
"chrIII_pilon","g7173",1,0,0,0
"chrIII_pilon","g7174",1,5,0,0
"chrIII_pilon","g7175",1,0,2,2
"chrIII_pilon","g7176",391,439,309,312
"chrIII_pilon","g7177",36,26,20,24
"chrIII_pilon","g7178",11,17,10,18
"chrIII_pilon","g7179",1,1,0,0
"chrIII_pilon","g7180",0,0,0,0
"chrIII_pilon","g7181",0,0,0,0
"chrIII_pilon","g7182",2,3,2,17
"chrIII_pilon","g7183",7,11,7,10
"chrIII_pilon","g7184",0,2,2,5
"chrIII_pilon","g7185",42,31,37,129
"chrIII_pilon","g7186",13,20,12,11
"chrIII_pilon","g7187",2,6,1,9
"chrIII_pilon","g7188",327,293,326,365
"chrIII_pilon","g7189",206,245,138,179
"chrIII_pilon","g7190",0,0,0,1
"chrIII_pilon","g7191",5,5,2,15
"chrIII_pilon","g7192",8,9,6,31
"chrIII_pilon","g7193",5,2,5,5
"chrIII_pilon","g7194",541,577,511,604
"chrIII_pilon","g7195",11,8,8,12
"chrIII_pilon","g7196",0,2,0,1
"chrIII_pilon","g7197",0,0,1,0
"chrIII_pilon","g7198",46,44,61,67
"chrIII_pilon","g7199",2280,2871,1649,1953
"chrIII_pilon","g7200",458,427,306,349
"chrIII_pilon","g7201",52,45,20,30
"chrIII_pilon","g7202",120,129,68,99
"chrIII_pilon","g7203",100,121,48,75
"chrIII_pilon","g7204",0,2,1,0
"chrIII_pilon","g7205",114,160,92,90
"chrIII_pilon","g7206",7,10,0,8
"chrIII_pilon","g7207",42,56,43,80
"chrIII_pilon","g7208",3,3,4,7
"chrIII_pilon","g7209",4,4,1,4
"chrIII_pilon","g7210",0,1,0,4
"chrIII_pilon","g7211",111,96,86,161
"chrIII_pilon","g7212",183,198,90,99
"chrIII_pilon","g7213",431,434,371,458
"chrIII_pilon","g7214",79,123,53,59
"chrIII_pilon","g7215",1,1,3,4
"chrIII_pilon","g7216",1,1,1,0
"chrIII_pilon","g7217",239,239,237,199
"chrIII_pilon","g7218",18,25,16,32
"chrIII_pilon","g7219",2,11,1,11
"chrIII_pilon","g7220",538,618,369,425
"chrIII_pilon","g7221",2,1,1,1
"chrIII_pilon","g7222",0,1,0,0
"chrIII_pilon","g7223",0,1,0,0
"chrIII_pilon","g7224",0,0,2,0
"chrIII_pilon","g7225",1,0,0,2
"chrIII_pilon","g7226",77,73,56,101
"chrIII_pilon","g7227",1,1,0,0
"chrIII_pilon","g7228",4,2,3,5
"chrIII_pilon","g7229",18,13,17,16
"chrIII_pilon","g7230",71,106,56,65
"chrIII_pilon","g7231",237,253,162,159
"chrIII_pilon","g7232",76,80,40,45
"chrIII_pilon","g7233",87,107,90,102
"chrIII_pilon","g7234",255,284,229,290
"chrIII_pilon","g7235",164,129,90,132
"chrIII_pilon","g7236",1,0,0,2
"chrIII_pilon","g7237",47,45,74,100
"chrIII_pilon","g7238",21,28,16,37
"chrIII_pilon","g7239",3,7,7,13
"chrIII_pilon","g7240",35,32,26,36
"chrIII_pilon","g7241",517,567,429,448
"chrIII_pilon","g7242",624,862,354,475
"chrIII_pilon","g7243",152,182,84,113
"chrIII_pilon","g7244",2429,2539,2170,2528
"chrIII_pilon","g7245",40,62,42,36
"chrIII_pilon","g7246",63,64,46,70
"chrIII_pilon","g7247",192,161,164,178
"chrIII_pilon","g7248",36,63,27,29
"chrIII_pilon","g7249",10,7,3,10
"chrIII_pilon","g7250",6,15,13,7
"chrIII_pilon","g7251",0,0,0,0
"chrIII_pilon","g7252",1,2,0,1
"chrIII_pilon","g7253",0,1,0,0
"chrIII_pilon","g7254",0,1,2,1
"chrIII_pilon","g7255",0,0,0,1
"chrIII_pilon","g7256",289,325,217,230
"chrIII_pilon","g7257",243,263,117,131
"chrIII_pilon","g7258",157,142,111,132
"chrIII_pilon","g7259",74,65,37,38
"chrIII_pilon","g7260",128,88,88,112
"chrIII_pilon","g7261",12,10,7,7
"chrIII_pilon","g7262",11,23,2,24
"chrIII_pilon","g7263",5,14,10,8
"chrIII_pilon","g7264",4,9,2,9
"chrIII_pilon","g7265",195,245,169,192
"chrIII_pilon","g7266",143,194,103,111
"chrIII_pilon","g7267",2720,3122,1880,2390
"chrIII_pilon","g7268",192,267,181,186
"chrIII_pilon","g7269",273,241,227,243
"chrIII_pilon","g7270",54,90,38,49
"chrIII_pilon","g7271",69,62,50,48
"chrIII_pilon","g7272",46,65,45,110
"chrIII_pilon","g7273",51,81,54,47
"chrIII_pilon","g7274",128,181,150,219
"chrIII_pilon","g7275",0,0,0,0
"chrIII_pilon","g7276",6,3,4,3
"chrIII_pilon","g7277",0,0,0,0
"chrIII_pilon","g7278",0,4,2,3
"chrIII_pilon","g7279",0,0,0,0
"chrIII_pilon","g7280",8,10,18,28
"chrIII_pilon","g7281",0,0,0,2
"chrIII_pilon","g7282",30,55,38,104
"chrIII_pilon","g7283",124,138,112,161
"chrIII_pilon","g7284",81,90,47,66
"chrIII_pilon","g7285",260,251,157,183
"chrIII_pilon","g7286",2,11,4,17
"chrIII_pilon","g7287",75,103,52,73
"chrIII_pilon","g7288",908,845,762,804
"chrIII_pilon","g7289",133,173,115,125
"chrIII_pilon","g7290",277,253,194,212
"chrIII_pilon","g7291",0,0,0,0
"chrIII_pilon","g7292",9,15,8,19
"chrIII_pilon","g7293",1,3,3,5
"chrIII_pilon","g7294",153,181,92,133
"chrIII_pilon","g7295",1760,2091,1375,1572
"chrIII_pilon","g7296",233,277,205,213
"chrIII_pilon","g7297",54,83,56,78
"chrIII_pilon","g7298",494,556,311,397
"chrIII_pilon","g7299",98,110,87,104
"chrIII_pilon","g7300",182,224,129,203
"chrIII_pilon","g7301",207,227,182,176
"chrIII_pilon","g7302",79,91,64,104
"chrIII_pilon","g7303",309,400,307,348
"chrIII_pilon","g7304",50,82,63,81
"chrIII_pilon","g7305",801,929,584,615
"chrIII_pilon","g7306",7,8,3,2
"chrIII_pilon","g7307",381,402,253,324
"chrIII_pilon","g7308",2,5,2,4
"chrIII_pilon","g7309",287,275,205,266
"chrIII_pilon","g7310",0,0,0,0
"chrIII_pilon","g7311",2,2,1,3
"chrIII_pilon","g7312",3,13,7,28
"chrIII_pilon","g7313",7,10,4,14
